Project,Baseline,Type,Requirement,ID,Version,Hierarchy #,Description,Status,Priority,Owner,Owner (First Name),Owner (Last Name),Created By,Responsible,Created On,Sponsor Name,Source,Notes,SH Reason why,SH Comment,SH_BD Action,Due Date,SH_BD Due Date,Launch Priority,SH Product cost impacts,SH Schedule impacts,SH Risk impacts,SH Project cost impacts,SH Concept Impacts,Funded,Funding Approved,Management Approval,Compliance Approval,SH Safety Related,SH Stakeholders,Concerned Product,SH Allocation,SH Wave,SY Skill Allocation,SY Package Release,SY Model Type,SY Cabinet Type
Charlie,Current Baseline,2. Stakeholder Requirements (WHAT),Configurable UPS power rating,40728,7,2.1.2,"It must be possible to configure the UPS power rating.The UPS power rating must only be configurable when the UPS is in Off Operation or Maintenance Bypass, and if UPS is in NPI mode. As standard a GVL UPS is always a 500 kW.",Submitted,Must / Vital,Jesper Johnsen,Jesper,Johnsen,Jesper Johnsen,,6/24/2019,   --- N/A ---,   --- N/A ---,   --- N/A ---,,,,   --- N/A ---,6/28/2012,   --- N/A ---,To Be Defined,To Be Defined,To be defined,To be defined,TBD,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---,FALSE,Marketing,,,W1,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---
Charlie,Current Baseline,2. Stakeholder Requirements (WHAT),Settings and commands,40729,1.1,2.1.2.1,,[Category],Must / Vital,Jesper Johnsen,Jesper,Johnsen,Jesper Johnsen,,6/24/2019,   --- N/A ---,   --- N/A ---,   --- N/A ---,,,,   --- N/A ---,6/28/2012,   --- N/A ---,To Be Defined,To Be Defined,To be defined,To be defined,TBD,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---,FALSE,Marketing,,,W1,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---
Charlie,Current Baseline,2. Stakeholder Requirements (WHAT),UPS power rating setting,40730,9,2.1.2.1.1,"Setting for the UPS power rating. Range:300, 400, 500 kWDefault value: 500 kW Required check of setting and/or configuration dependencies:  Setting is only configurable when the UPS is in Off Operation or Maintenance Bypass, and if UPS is in NPI test mode.",Submitted,Must / Vital,Jesper Johnsen,Jesper,Johnsen,Jesper Johnsen,,6/24/2019,   --- N/A ---,   --- N/A ---,   --- N/A ---,,,,   --- N/A ---,6/28/2012,   --- N/A ---,To Be Defined,To Be Defined,To be defined,To be defined,TBD,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---,FALSE,Marketing,,,W1,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---
Charlie,Current Baseline,2. Stakeholder Requirements (WHAT),Events and alarms,40731,1.1,2.1.2.2,,[Category],Must / Vital,Jesper Johnsen,Jesper,Johnsen,Jesper Johnsen,,6/24/2019,   --- N/A ---,   --- N/A ---,   --- N/A ---,,,,   --- N/A ---,6/28/2012,   --- N/A ---,To Be Defined,To Be Defined,To be defined,To be defined,TBD,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---,FALSE,Marketing,,,W1,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---
Charlie,Current Baseline,2. Stakeholder Requirements (WHAT),UPS power rating - setting changed,40732,4,2.1.2.2.1,Type: EventSeverity: InformationalCorrective Action Text: NADescription: UPS power rating - setting has been changed,Implemented,Must / Vital,Jesper Johnsen,Jesper,Johnsen,Jesper Johnsen,,6/24/2019,   --- N/A ---,   --- N/A ---,   --- N/A ---,,,,   --- N/A ---,6/28/2012,   --- N/A ---,To Be Defined,To Be Defined,To be defined,To be defined,TBD,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---,FALSE,Marketing,,,W1,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---
Charlie,Current Baseline,2. Stakeholder Requirements (WHAT),Ability to read all product data from an adjacent product,40034,4.1,5.9.2.1.3,"The Services Applications shall be able to read and write all data (settings, measurements, alarms, firmware...) of an adjacent parallel product from an alternate product.The FSR can then connect its laptop to a product and perform the Services activities without having to move the cable from a UPS to the other one. Specific care shall be taken to identify clearly the product concerned by the data on the Services Applications screen.",Rejected,Must / Vital,Jesper Johnsen,Jesper,Johnsen,Jesper Johnsen,,5/6/2019,   --- N/A ---,   --- N/A ---,   --- N/A ---,,,,   --- N/A ---,6/28/2012,   --- N/A ---,To Be Defined,To Be Defined,To be defined,To be defined,TBD,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---,FALSE,Marketing,,"UPS,TUNER,HMI","W1,W2,W3,W4,W5,W6",   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---
Charlie,Current Baseline,2. Stakeholder Requirements (WHAT),Trashed - Readability and understandability of event logs,40036,4.1,5.11.4,Service log files to be more easily understandable by the FSRs ( based on feedback from VM and VX ),Trash,Must / Vital,Jesper Johnsen,Jesper,Johnsen,Jesper Johnsen,,5/7/2019,   --- N/A ---,   --- N/A ---,   --- N/A ---,,,,   --- N/A ---,6/28/2012,   --- N/A ---,To Be Defined,To Be Defined,To be defined,To be defined,TBD,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---,FALSE,Marketing,,"UPS,HMI","W1,W2,W3,W4,W5,W6",   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---
Charlie,Current Baseline,2. Stakeholder Requirements (WHAT),Bypass backfeed protection,40212,3.1,6.6.4,The UPS must include at bypass backfeed protection to ensure that no power is fed back to the bypass input terminals from the UPS output in the case where no bypass voltage source is present and a bypass static switch thyristor short-circuit.,Approved,Must / Vital,Jesper Johnsen,Jesper,Johnsen,Jesper Johnsen,,5/15/2019,   --- N/A ---,   --- N/A ---,   --- N/A ---,,,,   --- N/A ---,6/28/2012,   --- N/A ---,To Be Defined,To Be Defined,To be defined,To be defined,TBD,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---,FALSE,Marketing,,,W1,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---
Charlie,Current Baseline,2. Stakeholder Requirements (WHAT),Detection of bypass backfeed,40213,3,6.6.4.1,"If the bypass input voltage is detected as within tolerance on all three phases there is no need to do bypass backfeed protection. Only if the bypass input voltage is below limit, or a phase is missing, the bypass backfeed protection must be active.The voltage across the SCRs of the static bypass switch must monitored by means of voltage measurements on both sides of the SCRs.- If a voltage difference can be measured, the SCRs are not shorted.- If a low voltage or no voltage is measured, the SCR is potentially shorted, except if UPS is in static bypass operation.{Image: DF2843DA-6750-49C0-808A-872E0C7D9971.bmp}It will not be possible to detect if all three SCRs are shorted using the above method, as the bypass voltage will be seen as within tolerance.",Approved,Must / Vital,Jesper Johnsen,Jesper,Johnsen,Jesper Johnsen,,5/15/2019,   --- N/A ---,   --- N/A ---,   --- N/A ---,,,,   --- N/A ---,6/28/2012,   --- N/A ---,To Be Defined,To Be Defined,To be defined,To be defined,TBD,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---,FALSE,Marketing,,,W1,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---
Charlie,Current Baseline,2. Stakeholder Requirements (WHAT),Bypass backfeed protection behavior using a breaker,40659,6,6.6.4.2,"The bypass backfeed protection must be done via a breaker, which can be opened by the UPS automatically but must be closed manually.  The purpose of the bypass backfeed protection function is to prevent hazardous voltage from appearing ""upstream"" due to a shorted SCR in the Static Bypass Switch - SBS.Two conditions must be fulfilled before backfeed protection is activated:Condition no. 1:The voltage across the SCR’s are monitored by means of voltage measurements on both side of the SCR's.• If a voltage difference can be measured, the SCR's are not shorted.• If there on the other hand, only a low voltage is measured, or no voltage at all, there is a potential danger that a SCR is shorted (except of course the UPS is in static bypass operation).The voltage level must be set at +/- 33V. Voltage must be below the specified level for at least 5 sec. If this is the case, condition number 1 is met.Since it is very unlikely (under normal conditions), that more than one SCR is shorted, the situations where there are measured voltages below the specified level in all three phases, is perceived as an OK situation, where there is a perfect bypass mains which is 100% in phase with the output voltage of the UPS.Condition no. 2:In order to avoid the backfeed protection to activate in situations in which a energized bypass mains is connected, a voltage quality measurement must be done. The bypass mains must be monitored and reported out of tolerance at low or high voltage (-50% or +15%) or if a phase is missing.Only in case bypass mains is out of tolerance condition number 2 is met (no reason to protect against backfeed if a bypass mains is connected).If both condition 1 and 2 have been fulfilled for 5 seconds or more, the backfeed protection must be activated.",Approved,Must / Vital,Jesper Johnsen,Jesper,Johnsen,Jesper Johnsen,,6/7/2019,   --- N/A ---,   --- N/A ---,   --- N/A ---,,,,   --- N/A ---,6/28/2012,   --- N/A ---,To Be Defined,To Be Defined,To be defined,To be defined,TBD,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---,FALSE,Marketing,,,W1,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---
